
 OVO Algorithm for Measles

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
    68             1        8.264828E-03      2.780491E-04       3
    69             1        8.264752E-03      2.762970E-04       3
    70             1        8.264677E-03      2.745610E-04       3
    71             1        8.264603E-03      2.728409E-04       3
    72             1        8.264530E-03      2.711366E-04       3
    73             1        8.264458E-03      2.694479E-04       3
    74             1        8.264387E-03      2.677745E-04       3
    75             1        8.264316E-03      2.661165E-04       3
    76             1        8.264247E-03      2.644735E-04       3
    77             1        8.264178E-03      2.628456E-04       3
    78             1        8.264110E-03      2.612324E-04       3
    79             1        8.264043E-03      2.596338E-04       3
    80             1        8.263977E-03      2.580497E-04       2
    81             1        8.263912E-03      2.564750E-04       2
    82             1        8.263847E-03      2.549146E-04       2
    83             1        8.263783E-03      2.533684E-04       2
    84             1        8.263720E-03      2.518361E-04       2
    85             1        8.263657E-03      2.503177E-04       2
    86             1        8.263596E-03      2.488130E-04       2
    87             1        8.263535E-03      2.473218E-04       2
    88             1        8.263474E-03      2.458440E-04       2
    89             1        8.263415E-03      2.443795E-04       2
    90             1        8.263356E-03      2.429280E-04       2
    91             1        8.263298E-03      2.414896E-04       2
    92             1        8.263241E-03      2.400639E-04       2
    93             1        8.263184E-03      2.386510E-04       2
    94             1        8.263128E-03      2.372506E-04       2
    95             1        8.263072E-03      2.358626E-04       2
    96             1        8.263018E-03      2.344869E-04       2
    97             1        8.262964E-03      2.331233E-04       2
    98             1        8.262910E-03      2.317718E-04       2
    99             1        8.262857E-03      2.304321E-04       2
   100             1        8.262805E-03      2.291043E-04       2
   101             1        8.262753E-03      2.277880E-04       2
   102             1        8.262702E-03      2.264833E-04       2
   103             1        8.262651E-03      2.251900E-04       2
   104             1        8.262602E-03      2.239079E-04       2
   105             1        8.262552E-03      2.226370E-04       2
   106             1        8.262503E-03      2.213771E-04       2
   107             1        8.262455E-03      2.201281E-04       2
   108             1        8.262407E-03      2.188899E-04       2
   109             1        8.262360E-03      2.176624E-04       2
   110             1        8.262313E-03      2.164454E-04       2
   111             1        8.262267E-03      2.152389E-04       2
   112             1        8.262222E-03      2.140428E-04       2
   113             1        8.262176E-03      2.128568E-04       2
   114             1        8.262132E-03      2.116810E-04       2
   115             1        8.262088E-03      2.105152E-04       2
   116             1        8.262044E-03      2.093594E-04       2
   117             1        8.262001E-03      2.082133E-04       2
   118             1        8.261958E-03      2.070769E-04       2
   119             1        8.261916E-03      2.059501E-04       2
   120             1        8.261874E-03      2.048328E-04       2
   121             1        8.261833E-03      2.037249E-04       2
   122             1        8.261792E-03      2.026263E-04       2
   123             1        8.261751E-03      2.015369E-04       2
   124             1        8.261711E-03      2.004566E-04       2
   125             1        8.261671E-03      1.993853E-04       2
   126             1        8.261632E-03      1.983229E-04       2
   127             1        8.261593E-03      1.972693E-04       2
   128             1        8.261555E-03      1.962245E-04       2
   129             1        8.261517E-03      1.951883E-04       2
   130             1        8.261480E-03      1.941606E-04       2
   131             1        8.261442E-03      1.931414E-04       2
   132             1        8.261406E-03      1.921306E-04       2
